timestamp_ns,symbol,side,price_ticks,quantity
1000,AAPL,B,1500000,100
1200,AAPL,S,1502000,50
1500,MSFT,B,4200000,200
1850,GOOGL,B,1399500,120
2300,AAPL,S,1501200,80
2900,NVDA,B,1200500,300
3400,TSLA,S,2499000,60
3950,AMZN,B,1800800,40
4600,MSFT,S,4201500,150
5200,AAPL,B,1499800,220
5850,GOOGL,S,1400600,90
6400,NVDA,B,1201200,110
7100,TSLA,B,2501000,70
7750,AMZN,S,1799200,130
8300,AAPL,B,1500400,60
8950,MSFT,B,4199500,180
9600,GOOGL,B,1400100,240
10250,NVDA,S,1199800,95
10900,AAPL,S,1502500,55
11550,TSLA,B,2500500,85
12100,AMZN,B,1801200,45
12780,MSFT,S,4200800,160
13400,AAPL,B,1499200,300
14050,GOOGL,S,1399900,120
14700,NVDA,B,1200900,140
15360,TSLA,S,2498500,65
16000,AMZN,B,1800300,50
16650,AAPL,S,1501800,110
17300,MSFT,B,4201000,190
17960,GOOGL,B,1400400,210
18300,AAPL,B,1500100,100
18312,AAPL,B,1500150,100
18325,AAPL,B,1500200,120
18339,AAPL,S,1500050,90
18351,AAPL,B,1500250,110
18366,AAPL,S,1499950,80
18378,AAPL,B,1500300,130
18390,AAPL,S,1499900,70
18404,AAPL,B,1500350,140
18417,AAPL,S,1499850,60
18430,AAPL,B,1500400,150
18444,AAPL,S,1499800,50
18458,AAPL,B,1500450,160
18471,AAPL,S,1499750,40
19100,MSFT,B,4200200,170
19750,TSLA,B,2500800,75
20400,NVDA,S,1199600,105
21050,AMZN,B,1800600,55
21700,GOOGL,S,1400200,125
22360,AAPL,B,1499600,240
23000,MSFT,S,4201800,145
23650,TSLA,B,2501500,80
24310,AAPL,B,15000000,100
24960,NVDA,B,1201500,115
25600,AMZN,S,1799600,135
26250,GOOGL,B,1399700,205
26900,AAPL,S,1502200,65
27560,MSFT,B,4199200,175
28200,TSLA,S,2498800,70
28850,AMZN,B,1800900,50
29500,AAPL,B,1500600,120000
30160,GOOGL,S,1400800,95
30800,NVDA,B,1200300,130
31450,MSFT,S,4200400,155
32100,AAPL,B,1499400,260
32760,TSLA,B,2500200,85
33400,AMZN,S,1799400,140
34050,GOOGL,B,1400500,215
34700,NVDA,S,1199900,100
35360,AAPL,S,1501600,75
36000,MSFT,B,4201200,185
